Category,Subcategory,Organization,Name,License,value
App Definition and Development,Application Definition & Image Build,Apache Software Foundation ,ServiceComb,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Chef Software ,Chef Habitat,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Cloud Foundry Foundation ,Open Service Broker API,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Cloud Native Computing Foundation (CNCF) ,Buildpacks,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Cloud Native Computing Foundation (CNCF) ,Helm,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Cloud Native Computing Foundation (CNCF) ,KubeVirt,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Cloud Native Computing Foundation (CNCF) ,Telepresence,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,D2iQ ,KUDO,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,DeployHub ,DeployHub,NotOpenSource,1
App Definition and Development,Application Definition & Image Build,DevSpace ,DevSpace,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Docker ,Docker Compose,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Google ,kaniko,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Google ,Skaffold,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,HashiCorp ,Packer,Mozilla Public License 2.0,1
App Definition and Development,Application Definition & Image Build,Mirantis ,Mirantis Virtlet,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Okteto ,Okteto,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,On-Prem ,On-Prem,NotOpenSource,1
App Definition and Development,Application Definition & Image Build,Open API Initiative ,OpenAPI,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Red Hat ,Operator Framework,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Red Hat ,Podman,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Replicated ,Ship,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Solo.io ,Squash,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,VMware ,Bitnami Stacksmith,NotOpenSource,1
App Definition and Development,Application Definition & Image Build,VMware ,Octant,Apache License 2.0,1
App Definition and Development,Application Definition & Image Build,Windmill Engineering ,Tilt,Apache License 2.0,1
App Definition and Development,Continuous Integration & Delivery,Amazon Web Services ,AWS CodePipeline,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Appveyor Systems ,Appveyor,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Atlassian ,Bamboo,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Buildkite ,Buildkite,MIT License,1
App Definition and Development,Continuous Integration & Delivery,CircleCI ,CircleCI,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Cloud 66 ,Cloud 66 Skycap,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Cloud Native Computing Foundation (CNCF) ,Brigade,Apache License 2.0,1
App Definition and Development,Continuous Integration & Delivery,Cloud Native Computing Foundation (CNCF) ,Flux,Apache License 2.0,1
App Definition and Development,Continuous Integration & Delivery,CloudBees ,Cloudbees Codeship,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Codefresh ,Codefresh,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Continuous Delivery Foundation (CDF) ,Jenkins,MIT License,1
App Definition and Development,Continuous Integration & Delivery,Continuous Delivery Foundation (CDF) ,JenkinsX,Apache License 2.0,1
App Definition and Development,Continuous Integration & Delivery,Continuous Delivery Foundation (CDF) ,Screwdriver,Other,1
App Definition and Development,Continuous Integration & Delivery,Continuous Delivery Foundation (CDF) ,Spinnaker,Apache License 2.0,1
App Definition and Development,Continuous Integration & Delivery,Continuous Delivery Foundation (CDF) ,Tekton Pipelines,Apache License 2.0,1
App Definition and Development,Continuous Integration & Delivery,Drone.io ,Drone,Other,1
App Definition and Development,Continuous Integration & Delivery,Dynatrace ,Keptn,Apache License 2.0,1
App Definition and Development,Continuous Integration & Delivery,GitHub ,GitHub Actions,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,GitLab ,GitLab,Other,1
App Definition and Development,Continuous Integration & Delivery,Google ,Google Cloud Build,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Harness ,Harness.io,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,HyScale ,HyScale,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Intuit ,Argo,Apache License 2.0,1
App Definition and Development,Continuous Integration & Delivery,JetBrains ,TeamCity,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Microsoft ,Azure Pipelines,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Octopus Deploy ,Octopus Deploy,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,SemaphoreCI ,Semaphore,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Shippable ,Shippable,NotOpenSource,1
App Definition and Development,Continuous Integration & Delivery,Sorint.Lab ,Agola,Apache License 2.0,1
App Definition and Development,Continuous Integration & Delivery,Thoughtworks ,GoCD,Apache License 2.0,1
App Definition and Development,Continuous Integration & Delivery,Travis CI ,Travis CI,MIT License,1
App Definition and Development,Continuous Integration & Delivery,VMware ,Concourse,Apache License 2.0,1
App Definition and Development,Continuous Integration & Delivery,Weaveworks ,Weave Flagger,Apache License 2.0,1
App Definition and Development,Continuous Integration & Delivery,XebiaLabs ,XL Deploy,NotOpenSource,1
App Definition and Development,Database,Ant Financial ,Seata,Apache License 2.0,1
App Definition and Development,Database,Apache Software Foundation ,Apache CarbonData,Apache License 2.0,1
App Definition and Development,Database,Apache Software Foundation ,Apache Hadoop,Apache License 2.0,1
App Definition and Development,Database,Apache Software Foundation ,Apache Ignite,Apache License 2.0,1
App Definition and Development,Database,Apache Software Foundation ,Cassandra,Apache License 2.0,1
App Definition and Development,Database,Apache Software Foundation ,Druid,Apache License 2.0,1
App Definition and Development,Database,Apache Software Foundation ,ShardingSphere,Apache License 2.0,1
App Definition and Development,Database,Apple ,FoundationDB,Apache License 2.0,1
App Definition and Development,Database,ArangoDB ,ArangoDB,Apache License 2.0,1
App Definition and Development,Database,BigchainDB ,BigchainDB,Apache License 2.0,1
App Definition and Development,Database,Cloud Native Computing Foundation (CNCF) ,TiKV,Apache License 2.0,1
App Definition and Development,Database,Cloud Native Computing Foundation (CNCF) ,Vitess,Apache License 2.0,1
App Definition and Development,Database,Cockroach Labs ,CockroachDB,NotOpenSource,1
App Definition and Development,Database,Couchbase ,Couchbase,Apache License 2.0,1
App Definition and Development,Database,Crate.io ,Crate.io,Apache License 2.0,1
App Definition and Development,Database,Dgraph Labs ,Dgraph,Other,1
App Definition and Development,Database,Hazelcast ,Hazelcast IMDG,Apache License 2.0,1
App Definition and Development,Database,IBM ,IBM Db2,NotOpenSource,1
App Definition and Development,Database,Iguazio ,iguazio,NotOpenSource,1
App Definition and Development,Database,Intersystems ,InterSystems IRIS Data Platform,NotOpenSource,1
App Definition and Development,Database,JUXT ,Crux,Other,1
App Definition and Development,Database,Linux Foundation ,RethinkDB,Apache License 2.0,1
App Definition and Development,Database,MariaDB Corporation ,MariaDB,GNU General Public License v2.0,1
App Definition and Development,Database,MemSQL ,MemSQL,NotOpenSource,1
App Definition and Development,Database,Microsoft ,Microsoft SQL Server,NotOpenSource,1
App Definition and Development,Database,MongoDB ,MongoDB,NotOpenSource,1
App Definition and Development,Database,Neo4j ,Neo4j,Unknown License,1
App Definition and Development,Database,NuoDB ,NuoDB,NotOpenSource,1
App Definition and Development,Database,Oracle ,MySQL,Other,1
App Definition and Development,Database,Oracle ,Oracle Database,NotOpenSource,1
App Definition and Development,Database,Percona ,Percona Server for MySQL,Other,1
App Definition and Development,Database,Pilosa ,Pilosa,Apache License 2.0,1
App Definition and Development,Database,PingCAP ,TiDB,Apache License 2.0,1
App Definition and Development,Database,PostgreSQL ,PostgreSQL,Other,1
App Definition and Development,Database,Presto Foundation ,Presto,Apache License 2.0,1
App Definition and Development,Database,Qubole ,Qubole,NotOpenSource,1
App Definition and Development,Database,Red Hat ,Infinispan,Apache License 2.0,1
App Definition and Development,Database,Redis Labs ,Redis,"BSD 3-Clause ""New"" or ""Revised"" License",1
App Definition and Development,Database,Salesforce ,NomsDB,Apache License 2.0,1
App Definition and Development,Database,SAP ,OrientDB,Apache License 2.0,1
App Definition and Development,Database,ScyllaDB ,Scylla,GNU Affero General Public License v3.0,1
App Definition and Development,Database,Snowflake ,Snowflake,NotOpenSource,1
App Definition and Development,Database,Software AG ,Software AG,NotOpenSource,1
App Definition and Development,Database,Sorint.Lab ,Stolon,Apache License 2.0,1
App Definition and Development,Database,Taos Data ,TDengine,GNU Affero General Public License v3.0,1
App Definition and Development,Database,Vertica Systems ,Vertica,NotOpenSource,1
App Definition and Development,Database,Yugabyte ,YugaByte DB,Other,1
App Definition and Development,Streaming & Messaging,Amazon Web Services ,Amazon Kinesis,NotOpenSource,1
App Definition and Development,Streaming & Messaging,Apache Software Foundation ,Apache Heron,Apache License 2.0,1
App Definition and Development,Streaming & Messaging,Apache Software Foundation ,Apache NiFi,Apache License 2.0,1
App Definition and Development,Streaming & Messaging,Apache Software Foundation ,Apache RocketMQ,Apache License 2.0,1
App Definition and Development,Streaming & Messaging,Apache Software Foundation ,Apache Spark,Apache License 2.0,1
App Definition and Development,Streaming & Messaging,Apache Software Foundation ,Apache Storm,Other,1
App Definition and Development,Streaming & Messaging,Apache Software Foundation ,Beam,Apache License 2.0,1
App Definition and Development,Streaming & Messaging,Apache Software Foundation ,Flink,Apache License 2.0,1
App Definition and Development,Streaming & Messaging,Apache Software Foundation ,Kafka,Apache License 2.0,1
App Definition and Development,Streaming & Messaging,Apache Software Foundation ,Pulsar,Apache License 2.0,1
App Definition and Development,Streaming & Messaging,Cloud Native Computing Foundation (CNCF) ,CloudEvents,Apache License 2.0,1
App Definition and Development,Streaming & Messaging,Cloud Native Computing Foundation (CNCF) ,NATS,Apache License 2.0,1
App Definition and Development,Streaming & Messaging,Cloud Native Computing Foundation (CNCF) ,Strimzi,Apache License 2.0,1
App Definition and Development,Streaming & Messaging,deepstreamHub ,deepstream,MIT License,1
App Definition and Development,Streaming & Messaging,Dell ,Pravega,Apache License 2.0,1
App Definition and Development,Streaming & Messaging,EMQ Technologies ,EMQ Technologies,Apache License 2.0,1
App Definition and Development,Streaming & Messaging,Google ,Google Cloud Dataflow,NotOpenSource,1
App Definition and Development,Streaming & Messaging,Hazelcast ,Hazelcast Jet,Other,1
App Definition and Development,Streaming & Messaging,KubeMQ ,KubeMQ,NotOpenSource,1
App Definition and Development,Streaming & Messaging,Lightbend ,Lightbend,NotOpenSource,1
App Definition and Development,Streaming & Messaging,Linux Foundation ,OpenMessaging,Apache License 2.0,1
App Definition and Development,Streaming & Messaging,Microsoft ,Azure Event Hubs,NotOpenSource,1
App Definition and Development,Streaming & Messaging,Pachyderm ,Pachyderm,Other,1
App Definition and Development,Streaming & Messaging,Rabbit Technologies ,RabbitMQ,Other,1
App Definition and Development,Streaming & Messaging,StreamSets ,StreamSets,Apache License 2.0,1
App Definition and Development,Streaming & Messaging,Talend ,Talend Data Streams,NotOpenSource,1
App Definition and Development,Streaming & Messaging,WSO2 ,Siddhi,Apache License 2.0,1
Observability and Analysis,Chaos Engineering,Alibaba Cloud ,Chaosblade,Apache License 2.0,1
Observability and Analysis,Chaos Engineering,Bloomberg ,PowerfulSeal,Apache License 2.0,1
Observability and Analysis,Chaos Engineering,ChaosIQ ,Chaos Toolkit,Apache License 2.0,1
Observability and Analysis,Chaos Engineering,chaoskube ,chaoskube,MIT License,1
Observability and Analysis,Chaos Engineering,Gremlin ,Gremlin,NotOpenSource,1
Observability and Analysis,Chaos Engineering,MayaData ,Litmus,Apache License 2.0,1
Observability and Analysis,Chaos Engineering,PingCAP ,Chaos Mesh,Apache License 2.0,1
Observability and Analysis,Logging,Alibaba Cloud ,Alibaba Cloud Log Service,NotOpenSource,1
Observability and Analysis,Logging,Cloud Native Computing Foundation (CNCF) ,Fluentd,Apache License 2.0,1
Observability and Analysis,Logging,Elastic ,Elastic,Other,1
Observability and Analysis,Logging,Elastic ,Logstash,Other,1
Observability and Analysis,Logging,Grafana Labs ,Grafana Loki,Apache License 2.0,1
Observability and Analysis,Logging,Graylog ,Graylog,GNU General Public License v3.0,1
Observability and Analysis,Logging,Humio ,Humio,NotOpenSource,1
Observability and Analysis,Logging,LogDNA ,LogDNA,NotOpenSource,1
Observability and Analysis,Logging,Loggly ,Loggly,NotOpenSource,1
Observability and Analysis,Logging,Logz.io ,Logz.io,NotOpenSource,1
Observability and Analysis,Logging,Loom Systems ,Loom Systems,NotOpenSource,1
Observability and Analysis,Logging,Rizhiyi ,Rizhiyi,NotOpenSource,1
Observability and Analysis,Logging,Scalyr ,Scalyr,NotOpenSource,1
Observability and Analysis,Logging,Sematext ,Sematext,NotOpenSource,1
Observability and Analysis,Logging,Splunk ,Splunk,NotOpenSource,1
Observability and Analysis,Logging,Sumo Logic ,Sumo Logic,NotOpenSource,1
Observability and Analysis,Monitoring,Alibaba Cloud ,Application High Availability Service,NotOpenSource,1
Observability and Analysis,Monitoring,Amazon Web Services ,Amazon CloudWatch,NotOpenSource,1
Observability and Analysis,Monitoring,AppDynamics ,AppDynamics,NotOpenSource,1
Observability and Analysis,Monitoring,AppNeta ,AppNeta,NotOpenSource,1
Observability and Analysis,Monitoring,Blue Matador ,Blue Matador,NotOpenSource,1
Observability and Analysis,Monitoring,Catchpoint ,Catchpoint,NotOpenSource,1
Observability and Analysis,Monitoring,Centreon ,Centreon,GNU General Public License v2.0,1
Observability and Analysis,Monitoring,Circonus ,IronDB,NotOpenSource,1
Observability and Analysis,Monitoring,Cloud Native Computing Foundation (CNCF) ,Cortex,Apache License 2.0,1
Observability and Analysis,Monitoring,Cloud Native Computing Foundation (CNCF) ,OpenMetrics,Apache License 2.0,1
Observability and Analysis,Monitoring,Cloud Native Computing Foundation (CNCF) ,Prometheus,Apache License 2.0,1
Observability and Analysis,Monitoring,Cloud Native Computing Foundation (CNCF) ,Thanos,Apache License 2.0,1
Observability and Analysis,Monitoring,CloudHealth Technologies ,CloudHealth Technologies,NotOpenSource,1
Observability and Analysis,Monitoring,Comcast ,Trickster,Apache License 2.0,1
Observability and Analysis,Monitoring,Datadog ,Datadog,NotOpenSource,1
Observability and Analysis,Monitoring,Dynatrace ,Dynatrace,NotOpenSource,1
Observability and Analysis,Monitoring,Elastic ,Beats,Other,1
Observability and Analysis,Monitoring,Epsagon ,Epsagon,NotOpenSource,1
Observability and Analysis,Monitoring,Google ,Google Stackdriver,NotOpenSource,1
Observability and Analysis,Monitoring,Grafana Labs ,Grafana,Apache License 2.0,1
Observability and Analysis,Monitoring,Graphite ,Graphite,Apache License 2.0,1
Observability and Analysis,Monitoring,Hatena ,Mackerel,NotOpenSource,1
Observability and Analysis,Monitoring,Honeybadger ,Honeybadger,NotOpenSource,1
Observability and Analysis,Monitoring,Icinga ,Icinga,GNU General Public License v2.0,1
Observability and Analysis,Monitoring,InfluxData ,InfluxData,MIT License,1
Observability and Analysis,Monitoring,Instana ,Instana,NotOpenSource,1
Observability and Analysis,Monitoring,LogicMonitor ,LogicMonitor,NotOpenSource,1
Observability and Analysis,Monitoring,ManageEngine ,Applications Manager,NotOpenSource,1
Observability and Analysis,Monitoring,Microsoft ,Azure Monitor,NotOpenSource,1
Observability and Analysis,Monitoring,Nagios ,Nagios,GNU General Public License v2.0,1
Observability and Analysis,Monitoring,Netdata ,Netdata,GNU General Public License v3.0,1
Observability and Analysis,Monitoring,New Relic ,New Relic,NotOpenSource,1
Observability and Analysis,Monitoring,NexCloud ,NexClipper,Apache License 2.0,1
Observability and Analysis,Monitoring,NodeSource ,NodeSource,NotOpenSource,1
Observability and Analysis,Monitoring,OpenTSDB ,OpenTSDB,GNU Lesser General Public License v2.1,1
Observability and Analysis,Monitoring,OverOps ,OverOps,NotOpenSource,1
Observability and Analysis,Monitoring,Red Hat ,Kiali,Apache License 2.0,1
Observability and Analysis,Monitoring,Replex ,Replex,NotOpenSource,1
Observability and Analysis,Monitoring,Riverbed Technology ,Aternity,NotOpenSource,1
Observability and Analysis,Monitoring,Rookout ,Rookout,NotOpenSource,1
Observability and Analysis,Monitoring,Sensu ,Sensu,MIT License,1
Observability and Analysis,Monitoring,Sentry ,Sentry,NotOpenSource,1
Observability and Analysis,Monitoring,SolarWinds ,AppOptics,NotOpenSource,1
Observability and Analysis,Monitoring,Splunk ,SignalFX,NotOpenSource,1
Observability and Analysis,Monitoring,StackState ,StackState,NotOpenSource,1
Observability and Analysis,Monitoring,StormForger ,StormForger,NotOpenSource,1
Observability and Analysis,Monitoring,Sysdig ,sysdig,Apache License 2.0,1
Observability and Analysis,Monitoring,Timber ,Vector,Apache License 2.0,1
Observability and Analysis,Monitoring,Tingyun ,Tingyun,NotOpenSource,1
Observability and Analysis,Monitoring,Turbonomic ,Turbonomic,NotOpenSource,1
Observability and Analysis,Monitoring,VictoriaMetrics ,VictoriaMetrics,Apache License 2.0,1
Observability and Analysis,Monitoring,VMware ,Wavefront,NotOpenSource,1
Observability and Analysis,Monitoring,Weaveworks ,Weave Cloud,NotOpenSource,1
Observability and Analysis,Monitoring,Weaveworks ,Weave Scope,Other,1
Observability and Analysis,Monitoring,Xiaomi ,Falcon,Apache License 2.0,1
Observability and Analysis,Monitoring,Zabbix ,Zabbix,GNU General Public License v2.0,1
Observability and Analysis,Tracing,Ant Financial ,SOFATracer,Apache License 2.0,1
Observability and Analysis,Tracing,Apache Software Foundation ,SkyWalking,Apache License 2.0,1
Observability and Analysis,Tracing,Cloud Native Computing Foundation (CNCF) ,Jaeger,Apache License 2.0,1
Observability and Analysis,Tracing,Cloud Native Computing Foundation (CNCF) ,OpenTelemetry,Apache License 2.0,1
Observability and Analysis,Tracing,Cloud Native Computing Foundation (CNCF) ,OpenTracing,Apache License 2.0,1
Observability and Analysis,Tracing,Elastic ,Elastic APM,Other,1
Observability and Analysis,Tracing,Honeycomb ,Honeycomb,NotOpenSource,1
Observability and Analysis,Tracing,LightStep ,LightStep,NotOpenSource,1
Observability and Analysis,Tracing,Pinpoint ,Pinpoint,Apache License 2.0,1
Observability and Analysis,Tracing,VMware ,Spring Cloud Sleuth,Apache License 2.0,1
Observability and Analysis,Tracing,Zipkin ,Zipkin,Apache License 2.0,1
Orchestration & Management,API Gateway,Accenture ,Reactive Interaction Gateway,Apache License 2.0,1
Orchestration & Management,API Gateway,Alibaba Cloud ,Sentinel,Apache License 2.0,1
Orchestration & Management,API Gateway,Apache Software Foundation ,APISIX,Apache License 2.0,1
Orchestration & Management,API Gateway,Brutale ,KrakenD,Other,1
Orchestration & Management,API Gateway,Datawire ,Ambassador,Apache License 2.0,1
Orchestration & Management,API Gateway,Kong ,Kong,Other,1
Orchestration & Management,API Gateway,LunchBadger ,Express Gateway,Apache License 2.0,1
Orchestration & Management,API Gateway,Mia-Platform ,Mia-Platform,NotOpenSource,1
Orchestration & Management,API Gateway,Red Hat ,3Scale,Apache License 2.0,1
Orchestration & Management,API Gateway,Salesforce ,MuleSoft,Other,1
Orchestration & Management,API Gateway,Solo.io ,Gloo,Apache License 2.0,1
Orchestration & Management,API Gateway,Tyk ,Tyk,Other,1
Orchestration & Management,API Gateway,WSO2 ,WSO2 API Microgateway,Apache License 2.0,1
Orchestration & Management,Coordination & Service Discovery,Alibaba Cloud ,Nacos,Apache License 2.0,1
Orchestration & Management,Coordination & Service Discovery,Apache Software Foundation ,Apache Zookeeper,Apache License 2.0,1
Orchestration & Management,Coordination & Service Discovery,Cloud Native Computing Foundation (CNCF) ,CoreDNS,Apache License 2.0,1
Orchestration & Management,Coordination & Service Discovery,Cloud Native Computing Foundation (CNCF) ,etcd,Apache License 2.0,1
Orchestration & Management,Coordination & Service Discovery,Netflix ,Netflix Eureka,Apache License 2.0,1
Orchestration & Management,Remote Procedure Call,Ant Financial ,SOFARPC,Apache License 2.0,1
Orchestration & Management,Remote Procedure Call,Apache Software Foundation ,Apache Thrift,Apache License 2.0,1
Orchestration & Management,Remote Procedure Call,Apache Software Foundation ,Avro,Apache License 2.0,1
Orchestration & Management,Remote Procedure Call,Apache Software Foundation ,Dubbo,Apache License 2.0,1
Orchestration & Management,Remote Procedure Call,Cloud Native Computing Foundation (CNCF) ,gRPC,Apache License 2.0,1
Orchestration & Management,Remote Procedure Call,Linux Foundation ,TARS,Unknown License,1
Orchestration & Management,Scheduling & Orchestration,Amazon Web Services ,Amazon Elastic Container Service (ECS),NotOpenSource,1
Orchestration & Management,Scheduling & Orchestration,Apache Software Foundation ,Apache Mesos,Apache License 2.0,1
Orchestration & Management,Scheduling & Orchestration,Cloud Native Computing Foundation (CNCF) ,Kubernetes,Apache License 2.0,1
Orchestration & Management,Scheduling & Orchestration,Docker ,Docker Swarm,Apache License 2.0,1
Orchestration & Management,Scheduling & Orchestration,HashiCorp ,Nomad,Mozilla Public License 2.0,1
